id,Hotel Name,Address
2081,Courtyard Bakersfield,3601 Marriott Drive Bakersfield
2082,Courtyard Baltimore BWI Airport,1671 West Nursery Road Linthicum
2083,Courtyard Baltimore Hunt Valley,221 International Circle Hunt Valley
2084,Courtyard Basking Ridge,595 Martinsville Road Basking Ridge
2085,Courtyard Baton Rouge Acadian Centre/LSU Area,2421 South Acadian Thruway Baton Rouge
2086,Courtyard Baton Rouge Downtown,260 Third Street Baton Rouge
2087,Courtyard Battle Creek,12891 Harper Village Drive Battle Creek
2088,Courtyard Bay City,2 East Main Street Bay City
2089,Courtyard Bentonville,1001 McClain Road Bentonville
2090,Courtyard Bentonville Rogers Promenade,4201 West Green Acres Road Rogers
2091,Courtyard Bethlehem Lehigh Valley/I-78,2220 Emrick Blvd Bethlehem
2092,Courtyard Biloxi North/D'Iberville,11471 Cinema Drive D'Iberville
2093,Courtyard Binghamton,3801 Vestal Parkway East Vestal
2094,Courtyard Birmingham Colonnade/Grandview,4300 Colonnade Parkway Birmingham
2095,Courtyard Birmingham Homewood,500 Shades Creek Parkway Homewood
2096,Courtyard Birmingham Hoover,1824 Montgomery Highway South Hoover
2097,Courtyard Bloomington by Mall of America,7800 Bloomington Avenue South Bloomington
2098,Courtyard Boise Downtown,222 S. Broadway Avenue Boise
2099,Courtyard Boise West/Meridian,1789 South Eagle Road Meridian
2100,Courtyard Boston Andover,10 Campanelli Drive Andover
2101,Courtyard Boston Billerica/Bedford,270 Concord Road Billerica
2102,Courtyard Boston Lowell/Chelmsford,30 Industrial Avenue East Lowell
2103,Courtyard Boston Marlborough,75 Felton Street Marlborough
2104,Courtyard Boston Milford,10 Fortune Boulevard Milford
2105,Courtyard Boston Norwood/Canton,300 River Ridge Drive Norwood
2106,Courtyard Boston Raynham,N/A
2107,Courtyard Boston Stoughton,200 Technology Center Drive Stoughton
2108,Courtyard Boston Westborough,3 Technology Drive Westborough
2109,Courtyard Boston Woburn/Burlington,240 Mishawum Road Woburn
2110,Courtyard Boulder Broomfield,948 West Dillon Road Louisville
2111,Courtyard Boulder Longmont,1410 Dry Creek Drive Longmont
2112,Courtyard Bowie,16800 Science Drive Bowie
2113,Courtyard Bowling Green Convention Center,1010 Wilkinson Trace Bowling Green
2114,Courtyard Boynton Beach,1601 N. Congress Ave Boynton Beach
2115,Courtyard Bryan College Station,3939 State Highway 6 South College Station
2116,Courtyard Buffalo Airport,4243 Genesee Street Cheektowaga
2117,Courtyard Buffalo Amherst/University,4100 Sheridan Drive Buffalo
2118,Courtyard Burlington,3141 Wilson Drive Burlington
2119,Courtyard Canton,4375 Metro Circle NW North Canton
2120,Courtyard Cape Girardeau Downtown,400 Broadway Street Cape Girardeau
2121,Courtyard Carrollton,180 Barnes Avenue Carrollton
2122,Courtyard Carson City,3870 S Carson St Carson City
2123,Courtyard Cartersville,5460 Highway 20 Cartersville
2124,Courtyard Casper,4260 Hospitality Lane Casper
2125,Courtyard Cedar City,1294 South Interstate Drive Cedar City
2126,Courtyard Charleston Downtown/Civic Center,100 Kanawha Boulevard East Charleston
2127,Courtyard Charleston Summerville,1510 Rose Drive Summerville
2128,Courtyard Charlotte Airport North,2700 Little Rock Road Charlotte
2129,Courtyard Charlotte Airport/Billy Graham Parkway,321 W. Woodlawn Road Charlotte
2130,Courtyard Charlotte Arrowood,800 West Arrowood Road Charlotte
2131,Courtyard Charlotte Ballantyne,15635 Don Lochman Lane Charlotte
2132,Courtyard Charlotte Concord,7201 Scott Padgett Parkway Concord
2133,Courtyard Charlotte Lake Norman,16700 Northcross Drive Huntersville
2134,Courtyard Charlotte Matthews,11425 East Independence Blvd Matthews
2135,Courtyard Charlotte South,6319 Providence Farm Lane Charlotte
2136,Courtyard Charlotte SouthPark,6023 Park South Drive Charlotte
2137,Courtyard Charlotte Steele Creek,8536 Outlets Boulevard Charlotte
2138,Courtyard Charlotte University Research Park,333 West W.T. Harris Blvd Charlotte
2139,Courtyard Charlottesville,638 Hillsdale Drive Charlottesville
